Weekly U.S. Product Supplied of Finished Motor Gasoline,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WGFUPUS2&f=W,
18:16:00 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels per Day
1/3/2003,8411
12/27/2002,8989
12/20/2002,9063
12/13/2002,8854
12/6/2002,8616
11/29/2002,9060
11/22/2002,8667
11/15/2002,8540
11/8/2002,8759
11/1/2002,9324
10/25/2002,9022
10/18/2002,8653
10/11/2002,9090
10/4/2002,8895
9/27/2002,8582
9/20/2002,8625
9/13/2002,8899
9/6/2002,8844
8/30/2002,9135
8/23/2002,9173
8/16/2002,8939
8/9/2002,9270
8/2/2002,9297
7/26/2002,9093
7/19/2002,9056
7/12/2002,8985
7/5/2002,9004
6/28/2002,9172
6/21/2002,8752
6/14/2002,8771
6/7/2002,9004
5/31/2002,8778
5/24/2002,8685
5/17/2002,9190
5/10/2002,8548
5/3/2002,8521
4/26/2002,8699
4/19/2002,8684
4/12/2002,8840
4/5/2002,8865
3/29/2002,8386
3/22/2002,8621
3/15/2002,8713
3/8/2002,8277
3/1/2002,8782
2/22/2002,8729
2/15/2002,8428
2/8/2002,8117
2/1/2002,8223
1/25/2002,8184
1/18/2002,8049
1/11/2002,8359
1/4/2002,8288
12/28/2001,8860
12/21/2001,8888
12/14/2001,8622
12/7/2001,8327
11/30/2001,8517
11/23/2001,8868
11/16/2001,8612
11/9/2001,8771
11/2/2001,8797
10/26/2001,8702
10/19/2001,8619
10/12/2001,8766
10/5/2001,8500
9/28/2001,8514
9/21/2001,7834
9/14/2001,8969
9/7/2001,8529
8/31/2001,8612
8/24/2001,8943
8/17/2001,9035
8/10/2001,8671
8/3/2001,8959
7/27/2001,9007
7/20/2001,9176
7/13/2001,9095
7/6/2001,8622
6/29/2001,9036
6/22/2001,8921
6/15/2001,8393
6/8/2001,8428
6/1/2001,8809
5/25/2001,8270
5/18/2001,8917
5/11/2001,8275
5/4/2001,8665
4/27/2001,8404
4/20/2001,8708
4/13/2001,8438
4/6/2001,8306
3/30/2001,8507
3/23/2001,8475
3/16/2001,8484
3/9/2001,8425
3/2/2001,8489
2/23/2001,8187
2/16/2001,7850
2/9/2001,8032
2/2/2001,8589
1/26/2001,7338
1/19/2001,7894
1/12/2001,8225
1/5/2001,7825
12/29/2000,8693
12/22/2000,8400
12/15/2000,8475
12/8/2000,8711
12/1/2000,8233
11/24/2000,8063
11/17/2000,8419
11/10/2000,8216
11/3/2000,8780
10/27/2000,8942
10/20/2000,8604
10/13/2000,8663
10/6/2000,8340
9/29/2000,7819
9/22/2000,8153
9/15/2000,8814
9/8/2000,8573
9/1/2000,8644
8/25/2000,8960
8/18/2000,8786
8/11/2000,8813
8/4/2000,8759
7/28/2000,8614
7/21/2000,8361
7/14/2000,8844
7/7/2000,8519
6/30/2000,8620
6/23/2000,8475
6/16/2000,8895
6/9/2000,8403
6/2/2000,8863
5/26/2000,9075
